comments,ratings
卧槽居然看哭了，这才是货真价实的国漫新希望，终于不再是假大空的中国风堆砌，而开始借神话寓言塑造真正的“小人物”。背负原罪的出身，命中注定的死期，对存在的笃定和身份的动摇，竟指向《刺客聂隐娘》的内核：一个人，没有同类。完整的世界观构建，父子母子师徒兄弟友敌，每一段关系都处理的有血有肉全无敷衍。美术剪辑配乐动作设计，处处都是亮点，就连喜剧部分也绝非装疯卖傻而存在无数细节作为支撑。海边夕阳踢毽和社稷图虚幻仙境两部分堪称绝美段落，飞驰想象力和一流制作实力的结合，值得一刷再刷。严格说是四星电影，但愿意加满五星狂推鼓励！,5
年度最佳动画，不，年度最佳影片，剧作上的成熟应该让同档期的《狮子王》跪下来叫爸爸，起承转合水到渠成且饱含情感力量，这种成熟度不管是在动画这种形式里还是脱离动画都值得所有国产商业电影学习。整部影片看下来，在形式上非常现代化，包括笑点台词都贴近现代网络化的生活，是谓形散，但是影片把握住了哪吒这个神话人物的内在精神：我命由我不由天，并且自始至终都贯彻下去，是谓神不散，包括反派敖丙及申公豹都人物弧光饱满，在非我族类其心必异的人类世界里，《哪吒之魔童降世》是为所有异类书写的颂歌，这部片子就如同蔡依林在金曲奖上说的：献给那些曾经认为自己没有任何机会与选择的你，请你一定要记得选择你自己，支持你自己。,4
邓超救不起这暑期档，哪吒可以。,4
讽刺的是，尽管角色口口声声说着“做自己”、“我命由己不由天”、“最害人的是成见”，电影却依然一直在用对肥胖、结巴、娘娘腔等特征产生的成见制造无价值，且一点都不好笑的笑料。,5
"看到海报和预告片，人们第一反应就是：哪吒太丑了。
觉得丑就对了，因为本片讲的就是打破偏见。
正如很多人一看这是国漫，就不看了；或者去看了，看了觉得还不错也要自动先扣20分。
电影之中，骂哪吒是政治正确，只要你说哪吒是妖怪，就会有人跟着说；
电影之外，骂国产片、国漫也成了政治正确，只要你骂它，就会有人给你点赞。
其实哪吒不是妖怪，他也想降妖除魔洗清骂名；
国漫也不都是烂片，也有人想拍一部佳作证明自己。
比如这部《哪吒》。
山河社稷图一幕真是天马行空，震撼无比，将曾经只存在于想象中的物品具象化，也将中国神话的无穷想象力展现得淋漓尽致。
那些耳熟能详的故事，不再只是故事，而是能看到，能听到，能享受一场视觉盛宴。
今年有《哪吒》，明年有《姜子牙》，封神电影宇宙即将开启。
是时候以电影的形式让中国文化走向世界了。",5
牛逼了！没想到国产动画能把故事内核写得这么成熟，远超《大圣归来》。好几场戏被震撼到，必须五星鼓励了。将“水淹陈塘关”的故事元素打碎了重构，人设和剧情完全依照阴阳哲学来做。太极生两仪，混元珠分为魔丸（火）和灵珠（水）。太乙真人与申公豹，哪吒与敖丙，皆是一体双生。命运的偏离带来了秩序的倒错，于是，善与恶的边界变得越加复杂起来，耐人寻味。每个主要角色都带着宿命感，向死而生，阴阳相合打破命运。哪吒形象很颠覆，华语电影里也是难得一见，最重要的反叛精神立住了。导演想击打全龄观众，而那些嬉笑段落在关键时刻也催生出了悲情，让人泪目。高潮部分的场面戏够燃够磅礴，而且情绪饱满。以后再出国产动画，都将和它比较。,5
“不成，功变成仁”、《神仙的自我修养》、“申公公”、内服外敷效果都一样的解药…前面快笑死；指点江山笔、英气的敖丙、猪鼻子倒带器…中间各种神来之笔；“人心的偏见是座大山，你是谁只有你自己才说了算”、父母面前的生离死别…结尾又被感动得一把老泪。老妈的性格更立体，老爸李靖对哪吒说你的真实身份其实是…时，生怕他说出个“蛋”，这是这部毫不正经却又硬气热血至死的片子能干出来的事。集丧逼和燃于一身，在哪吒面前，没人帅的起来！锁定今年最佳国产动画。,5
技术上还是当下国产动画电影的水准，但在剧作的完成度上，却是第一次这么成熟，这么优秀！以前大圣大鱼或者白蛇这些剧本有先天缺陷的庸常之辈，都被称作是国产动画电影的良心之作，直到这部哪吒，才算是做到了剧本层面上的优秀，兼顾了喜剧元素和主题深度，还为之后的封神宇宙开了一个好头，大家以后可以忘掉大圣了。导演把哪吒的故事做了颠覆性的改编，逆天改命的主题在哪吒身上爆发了耀眼的人物弧光，最后哪吒直接对着电影院里的观众说，今天是我生日宴，你们谁都不准哭，这一刻的泪点实在是太可怕了。第一次给国产动画做自来水，在这个萧条的暑期档，这部肯定会是爆款。,4
这种段子堆成的对白恕不是我的审美。,2
这个夏天还有比“藕饼”cp更火的吗？,4
"2019年，哪吒都成家庭教育成功典范了，就算你是魔童转世奔着毁天灭地来的，只要家里有钱有权有天命，妈妈爱你爸爸把命都给你，再顶级名师1V1封闭式教育，不愁养不出一个精英来。金吒木吒抱头痛哭：“这个家里没有我们的位置……”
敖丙是真可怜啊，背负了整个家族的不甘心，一人给片鳞好比读大学前村里每家每户给抓把小米，可走到城里，人家一看你头上的角就知道底细了。纵使哪天真能修炼成仙，身后还林林总总一大串亲戚呢，可敖丙能成仙吗？不被社会生吞活剥扒皮抽筋就不错了吧",3
暑期档到目前为止最好看的一部。真正打动我的不是哪吒的人设，而是找回了久违的看港片喜剧的快感！,5
李靖到底是为了什么做 揭穿敖丙身份 这样损人不利己的事？,3
7分，制作确实非常突出，尤其是夕阳下踢毽子和变身两场戏，印象深刻。这也说明，华语动画只要真是踏踏实实下来做苦功夫，还是能出佳作的。剧情相比老版做了很多革新，包括新增的父子情，这个见仁见智吧。主题则是神魔我做主，我命由我不由天的中二少年感，放到现在倒是挺燃的。哪吒变身之后也是大加分，跟敖丙的兄弟情也是相当新时代趣味了。希望每一部用心制作的华语动画，都能有好的成绩吧。不过，个人还是觉得大圣更好些，所以，刚刚还专门给大圣改了分，这样才公平些。都好都好，都加油，都加油!,4
火然，意思是要火的样子。比大圣厉害多了。冰与火。不虐(让再长大点再来虐吧，先美好童年先)，从头笑到彩蛋，踢毽子感人。丑萌喜欢。坐等好影院屏幕二刷。3D记得带上眼镜儿~火，火个小哪吒吧,5
谢谢把我拍的这么好！,4
各种方言、结巴、放屁、烧裤裆的梗，还有什么指纹解锁、游乐场之类的舔当代科技，所有笑点都能在半分钟之前预知，弱智当好笑。最不能接受的是把主题又变成什么“不信命”之类的俗套，那句泛中国地区最中二病没有之一的“我命由我不由天”出来的时候，我饭都要呕出来，本来我们已经很没有反抗父权的人物了，硕果仅存的哪吒也要变成这样，“削骨还父、割肉还母”完全没有，爹妈爱我，父慈子孝，让人忍不住竖中指，行吧，【父母皆祸害】小组关了，李靖也洗白白了，我服了还不行吗？我信命了好吧,2
哪吒就是那种看完了刷评论压根不会点开差评去读的片子，一定要看IMAX。 ,5
"说烂片预订那大叔，动漫非得拍给小孩看？你不接受设定别代表大家，还有哪吒啥货色但绝不是你想的那种设定，好好多读书，再回去好好琢磨下封神。
观后:吹爆这片，今年最佳国漫。",5
国产动画发展了这么多年，似乎是越来越不明白技术它就不是这个行当里最根本的东西，不明白作品里塞再多大而空的感情也无法真正打动人。古往今来反父权反愚孝的动画人物有几个？这么一个难能可贵的形象还给毁了，改得面目全非为什么还要继续叫哪吒？就是叫王小明也完全没问题。至于笑点，永远低俗而不自知，片里翻来覆去地嘲笑结巴、胖子和娘娘腔，有意思吗？做动画的各位是大人了都这样子，还指望我们的动画教出什么样的小孩？,2
点映看完了，不剧透地说，除了哪吒和他娘的人物关系外，这部电影把传统的哪吒故事里人物关系都改变了，哪吒和李靖、哪吒和太乙、哪吒和敖丙等等，因为有这些关系要重新做，所以这些人物的设定才和传统的不一样。整部电影本身严格按照商业片的形式，几个情感转折的节点都掐准了时间，不夸张地说，如果这个系列电影要做下去的话（还有之前的大圣、之后的姜子牙等），《大圣归来》和《魔童降世》在这个系列的地位相当于这个系列的《钢铁侠01》和《美国队长01》，但前提是一定要做下去。,4
承认期待不高，看得有些意外。我不是哪吒迷，而更接近封神迷——实为情怀的那种玩意，所以看到片方想要铺封神宇宙，无论成败，总归是有人在做这么一步，并且，这一步，作为起点是恰如其分的。不存在“哪吒就应该是代表/刻画什么精神”之类的说法，动画片也不是低幼倾向的文化产品。性格转变过快，密集迎合观众笑点之类的缺陷有不少，但来日可期，可以再打磨。,4
远远不如小时候看的《哪吒闹海》来得撼人心魄。传统中国各类文本，动人的都是关于人伦的张力，哪吒是骨肉还给父母，修得至纯至净莲花身，本作改得不伦不类，不中不西，对抗个人命运很是大而无当。人物造型、笑料、桥段，迪士尼、香港无厘头、电脑游戏借用不少，意思却不大。迎合的心态永远弄不成一流的商业片。2.5,2
这个夏天一定会爆！以大家对大圣大鱼和白蛇的热情，这部国漫在完成度上圆满完成期待。第一次有了看好莱坞动画的流畅感和毫无尿点以及满满泪点，实在太不容易了。这次的剧本创作、节奏把握、主题升华、人物设定、视觉特效、巧妙笑点，皆弥补之前的种种短板，毫不夸张的说是一部集大成之作。期待暑期档刷爆豆瓣和朋友圈,5
脱离原著看，可以给四星，国漫的进步显而易见。但如果对比原著看，一星都不想给，《封神演义》在古典名著中并不突出，但反抗父权的哪吒却是中国古典文学里最出色的人物形象之一，与反抗君权的孙悟空、反抗科举的杜少卿、贾宝玉一道成为最有反抗精神，最神采奕奕的人物，结果却被刻画成符合社会主义和谐价值观的父慈子孝，让人呕吐。看完这个熊孩子长成孝子版的丑哪吒，还是让我们来回顾一下真正的哪吒吧：一个人在海边嬉戏，打死蛮横无理的夜叉和太子，闯下祸来。怕受连累的父亲，要杀他以绝后患。他割肉还母，剔骨还父，自刎而死。后来又起死回生，取荷藕做骨，荷叶做肉，与父亲刀剑相向，大打出手。——记住，这个牛逼到金光闪闪的人物才叫哪吒。,2
全程冷漠脸，我太讨厌熊孩子了，尤其是这么丑破坏力还这么强的。还有给小孩配不屑御姐音让我感到不适。,3
丑，魔童就得是丧尸脸吗。,2
挺好看的。除了不是哪吒之外。,3
"一部神话片，笑点还靠屎尿屁来撑?可气的是我还笑了。经典的哪吒是一个反抗权威和父权的形象，这部把李靖塑造成一个有爱的父亲，于是一部俄狄浦斯式的神话变成一个友善的童话。
哪吒多会变化术，一些笑点是靠变化术制造，乾坤圈变成一个类似金箍的限制性法器，恭喜你们把哪吒变成第二个悟空。",3
看完心情有点复杂，只能说是雷点萌点兼具吧，不是我喜欢的那一款，但能看出来质感很好。好的地方当然是制作，确实是国漫标杆，甚至叙事部分也不差，是比较娴熟的类型片叙事。但我最不满意的地方恰恰就是很多人觉得燃的地方，这个片子里的哪吒和传统的“哪吒闹海”最大的区别就是，不再有那种六亲不认的反叛性了，而这恰恰是我觉得哪吒这个角色最吸引我的地方，是对父权最为彻底、最为决绝的反抗，甚至比石头里蹦出来的孙悟空还要六亲不认，是以自己的血肉之躯为代价获得彻底的自由，挣脱一切爱与伦理的锁链。但新版哪吒所谓的“我命由我不由天”完全是另一个故事，是网文式的逆天改命，好好活，不抛弃，不放弃，做有意义的事。。原版哪吒是野生摇滚，新版哪吒是摇滚人参加中国摇滚三十年研讨会。,3
因为考虑到低龄观众而加入许多低俗的笑话和段子似乎又和其要探讨的主题不相符；反倒觉得认真拍能更好,2
老版可是提倡自由意志的。,1
技术上确实是国产动画新高度，但故事依然如那颗混元珠一样，魔丸和灵丸厮杀交错，始终未能浑然一体。回望《哪吒闹海》，还是老一辈动画人把握住了悲剧的精髓。不必硬蹭什么港式无厘头或美式皮克斯，因为哪吒本身就催人泪下。,3
一出生就有黑眼圈的孩子肯定不简单,4
3.5。真纯粹。虽然文本完全不是想象中的高级向，但“不认命”这个基本点在情绪释放上真是合理又张扬，放低一秒防线眼眶就红了。技术上丰富度、流畅度双高，也基本跟得上想象力，但质感依旧有欠；剧本前松后紧，在节奏和笑点设置上都有刻意之处，但整体已相当圆熟，多主题驾驭得当，去二元化也成效显著，对神话元素更深入更有机的结合野心已然初俱，完全超越《大圣归来》没任何疑问。作为后起，如果能把投机又扭捏的《银河补习班》狠狠爆掉，那也算这个暑期档唯一能给的安慰了。,3
应该叫《哪吒之真·巨婴传》，中二没毛病，自恋到油腻的程度，就不好玩了。,2
国产动画区真是最分裂的一个区，很多人一边叫着动漫不是低幼作品一边为片子里的低幼笑话鼓掌……哪咤这个形象看你想怎么塑造，是反抗封建礼教的悲剧英雄，还是奉行封建礼教才能带来好果的教材？导演看来选了后者,2
这才是暑期电影应该有的样子，不闹海的哪吒，是文本与技术双成熟的华语动画。故事流畅、角色生动，虽然魔改，但整体路线还是以脍炙人口的大闹陈塘关故事为基础，且更符合当下文化价值。观感体验与大圣归来很像，笑料与热血并举。设定方面除了哪吒三件套外，山河社稷图、混元珠等设定都是源自封神的噱头，也有小云云、结界兄弟等可爱的原创角色。只可惜结尾大战意犹未尽，不算过瘾。至于画面嘛，制作水平早就不是华语动画的掣肘了，这部更是有着美观造型和时髦特效的视觉大餐,4
几个小缺点：娘炮那个梗用得有点太多了后面就烦了，结尾大战有些拖沓，段子堆得有些太密集了导致最后情绪有点破碎。其他都很好，比［大圣］好，可能是这几年最好的国产动画，李靖太可以了吧。,4
不是做的不好，不是不用心.恰恰相反我一看到宣传的第二天就去观影了，本人对哪吒这个人物的感情区别于其他所有的动漫人物，我从小爱读封神演义，自诩为是看着神的故事长大的人，哪吒最重要象征着对父权挑战忤逆的精神在这部动画里面被阉割的干干净净；太乙真人，永远站在哪吒这边，无原则帮他对抗父母、原则、天庭，做好身后事的仙风道骨之人，被丑化成一个骑着猪、说着四川话的胖子（先说明我不歧视胖子，我自己就是胖子，但这里的太乙分明就是丑角）.如果说cp是哪吒和太乙，我愿意嗑，太乙之于哪吒，那比秦五爷对依萍还要好啊，要星星不给月亮，你只管干，出了事我给你兜；在这个电影里，他仿佛一个丑陋搞笑的班主任罢了……至于敖丙，呵呵，一个被哪吒随手打死的富二代有什么资格和他组cp？总的来说，对于本片，我并不失望，我只是愤怒.,1
3.5；较多低幼欢脱段子集合的表象并不能掩盖其悲剧的本质，越往后越动人，在改编原著的基础上，文本大刀阔斧地改变走向，奉献了一个在（国产）动画中难得一见具有邪气的魅力角色（取下乾坤圈，变身一刻堪称全片高光，碾压帅气敖丙）。善与恶，水与火，在充满偏见定论的二元世界，这两个承载了命运错弄的少年，最终以“我不信命”的信念发出天问，完满开启「封神」宇宙，十分期待了。申公豹和龙族的命运也非常具有意味深长的寓意，并为丰富主题的完成提供富含信息量的支线提供。,4
配音好出戏，反正看20分钟就不想看了,2
中国动画缺的不是技术，是故事，和讲好故事的能力。在故事的完成度之余，还有一定的深度。最难能可贵的是，哪吒是个反传统的英雄，他天生反骨叛逆又肩负重任，他是不被认同的异类，在戏谑的打发愁苦之后，迎来最终的爆发，切切实实的感动。李靖也一直教育儿子哪吒，不要在意他人的眼光，要做自己想做的人，不要轻言放弃，包括在生日宴上对儿子说的一番话，一个不善言辞却一直包容理解儿子的父亲形象就油然而生了。要说教育和父子情，吊打隔壁《银河补习班》。,4
吹过头，完全没有以前那一部上美影《哪吒闹海》感人,2
低级庸俗的笑料太减分，台词能请个有点文化的人来写吗，我一度怀疑这活是个仅会刷抖音刷微博的中专生干的。想想那个在暴风雨中自刎的哪吒。,2
"国漫的制作水平已经是完全没问题，但低智化的台词与网络桥段让我尴尬。国产动画包袱低俗的毛病什么时候能改？去年《风语咒》也是抖机灵抖得太厉害，最后口碑平平。在《哪吒》中同样存在这样的问题，比如夫人开场的粗犷和后面的圣母光环、壮汉娘娘腔、裤裆里掏武器等。以无厘头电影的形式强行加入，简直是喧哗取宠。

这些笑料看的并不舒服，而是尴尬。这一点编剧难辞其咎，也反映了当下国内动画创作者的一些普遍窘境：如何能在主题较沉重的基础上，让观众保持愉快的心情来观赏作品？效果往往用力过猛。

又一次高举“国产动画良心”的大旗之前，我好奇的是我们的“良心动画”为什么非得加入那些尴尬又低级的网络段子式笑料，难道非得把自己打扮成一半臃胂粗鄙一半热血激昂的割裂模样，才足以迎合主流观众的口味吗?",2
不反父权算什么哪吒,3
小学作文式的文本。所有角色都是NPC。最喜欢的是干冰压城的想法。至于哪吒，有态度和情绪，但木有自己啊。,2
故事架子和人设不就是小鱼儿与花无缺吗？敖丙亮相的镜头，全程代入的是花无缺。这片是国漫史上一个进步，这是无疑的，但就是觉得特别可惜，特别可惜，特别可惜，这个魔丸灵珠转世成两个小孩的故事，主角其实跟“哪吒”一点关系没有，随便叫他小明小刚都行。但他占了这个名头和躯壳，把那个闪耀着万丈悲剧光辉的哪吒的灵魂挤走了。好烦“做你自己”的鸡汤套路。,3
此评价代表一位刚陪一位沉迷西游记数月的五龄童看完电影的老父亲的感受。孩子笑得开心，为父老泪纵横。,5
少年的你，有个小小的愿望，愿风雨云中，刀背藏身，一秒钟行八百里，刺破六欲天,4
"前半段略无聊的笑点太用力咯吱观众，远逊于后半段哪吒天生悲情的催泪作用让人触动
人物设计上主要人物还算有趣，但次要角色非常呆板
配乐有各种影子，特别是《终结者》
表演程式化，哪吒从咬母亲的手到温顺的变化，对比《风之谷》小动物咬伤娜乌西卡的段落差距巨大
小朋友设陷阱和回放段落重复动作显得乏味；影片过度迷恋动作戏，想靠密集的快速打斗提高影片节奏，反而将情节停滞。
对愚民的讽刺一开始似乎很有意思，但后面百姓接受哪吒的场景太一致没有任何迟疑，让歉意显得虚假也把前面对庸众的批判消解了。
但总的来说，本片是一部合格的娱乐爆米花电影。只是79年的哪吒闹海可不只是这么简单的作品，那是对十年浩劫的控诉，哪吒替天行道粉碎四条兴风作浪的龙，却还要自刎将血肉还给父辈，不连累父辈。那种大时代的悲剧能量，是核弹级的。",3
三幕设计和人物刻画比这几年漫威好看多了，完全是可以卖到全世界商业片。既然是就着好莱坞做的，我们就用好莱坞标准来评。,4
